"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Pavisam","Pārējās meža zemes","Ogre",0
"Pavisam","Pārējās meža zemes","Rēzekne",0
"Pavisam","Pārējās meža zemes","Valmiera",1
"Pavisam","Pārējās meža zemes","Ventspils",8
"Pavisam","Pārējās meža zemes","Aizkraukles novads",1367
"Pavisam","Pārējās meža zemes","Alūksnes novads",673
"Pavisam","Pārējās meža zemes","Augšdaugavas novads",508
"Pavisam","Pārējās meža zemes","Ādažu novads",2800
"Pavisam","Pārējās meža zemes","Balvu novads",151
"Pavisam","Pārējās meža zemes","Bauskas novads",1127
"Pavisam","Pārējās meža zemes","Cēsu novads",1002
"Pavisam","Pārējās meža zemes","Dienvidkurzemes novads",965
"Pavisam","Pārējās meža zemes","Dobeles novads",257
"Pavisam","Pārējās meža zemes","Gulbenes novads",242
"Pavisam","Pārējās meža zemes","Jelgavas novads",11
"Pavisam","Pārējās meža zemes","Jēkabpils novads",223
"Pavisam","Pārējās meža zemes","Krāslavas novads",503
"Pavisam","Pārējās meža zemes","Kuldīgas novads",586
"Pavisam","Pārējās meža zemes","Ķekavas novads",133
"Pavisam","Pārējās meža zemes","Limbažu novads",703
"Pavisam","Pārējās meža zemes","Līvānu novads",65
"Pavisam","Pārējās meža zemes","Ludzas novads",884
"Pavisam","Pārējās meža zemes","Madonas novads (no 01.07.2025.)",0
"Pavisam","Pārējās meža zemes","Madonas novads",1026
"Pavisam","Pārējās meža zemes","Mārupes novads",557
"Pavisam","Pārējās meža zemes","Ogres novads",386
"Pavisam","Pārējās meža zemes","Olaines novads",1408
"Pavisam","Pārējās meža zemes","Preiļu novads",153
"Pavisam","Pārējās meža zemes","Rēzeknes novads",282
"Pavisam","Pārējās meža zemes","Ropažu novads",81
"Pavisam","Pārējās meža zemes","Salaspils novads",27
"Pavisam","Pārējās meža zemes","Saldus novads",682
"Pavisam","Pārējās meža zemes","Saulkrastu novads",289
"Pavisam","Pārējās meža zemes","Siguldas novads",473
"Pavisam","Pārējās meža zemes","Smiltenes novads",434
"Pavisam","Pārējās meža zemes","Talsu novads",507
"Pavisam","Pārējās meža zemes","Tukuma novads",249
"Pavisam","Pārējās meža zemes","Valkas novads",136
"Pavisam","Pārējās meža zemes","Valmieras novads",683
"Pavisam","Pārējās meža zemes","Varakļānu novads",3
"Pavisam","Pārējās meža zemes","Ventspils novads",178
"Valsts meži","Meža zeme","Latvija",1732798
"Valsts meži","Meža zeme","Rīga",260
"Valsts meži","Meža zeme","Daugavpils",128
"Valsts meži","Meža zeme","Jelgava",427
"Valsts meži","Meža zeme","Jēkabpils",85
"Valsts meži","Meža zeme","Jūrmala",2408
"Valsts meži","Meža zeme","Liepāja",31
"Valsts meži","Meža zeme","Ogre",7
"Valsts meži","Meža zeme","Rēzekne",0
"Valsts meži","Meža zeme","Valmiera",73
"Valsts meži","Meža zeme","Ventspils",436
"Valsts meži","Meža zeme","Aizkraukles novads",83472
"Valsts meži","Meža zeme","Alūksnes novads",50352
"Valsts meži","Meža zeme","Augšdaugavas novads",51647
"Valsts meži","Meža zeme","Ādažu novads",10097
"Valsts meži","Meža zeme","Balvu novads",62111
"Valsts meži","Meža zeme","Bauskas novads",53304
"Valsts meži","Meža zeme","Cēsu novads",50092
"Valsts meži","Meža zeme","Dienvidkurzemes novads",105642
"Valsts meži","Meža zeme","Dobeles novads",34651
"Valsts meži","Meža zeme","Gulbenes novads",58633
"Valsts meži","Meža zeme","Jelgavas novads",43191
"Valsts meži","Meža zeme","Jēkabpils novads",94301
"Valsts meži","Meža zeme","Krāslavas novads",17643
"Valsts meži","Meža zeme","Kuldīgas novads",84815
"Valsts meži","Meža zeme","Ķekavas novads",15145
"Valsts meži","Meža zeme","Limbažu novads",67038
"Valsts meži","Meža zeme","Līvānu novads",17866
"Valsts meži","Meža zeme","Ludzas novads",42439
"Valsts meži","Meža zeme","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Meža zeme","Madonas novads",68336
"Valsts meži","Meža zeme","Mārupes novads",2085
"Valsts meži","Meža zeme","Ogres novads",45963
"Valsts meži","Meža zeme","Olaines novads",12089
"Valsts meži","Meža zeme","Preiļu novads",13126
"Valsts meži","Meža zeme","Rēzeknes novads",34445
"Valsts meži","Meža zeme","Ropažu novads",13335
"Valsts meži","Meža zeme","Salaspils novads",405
"Valsts meži","Meža zeme","Saldus novads",63383
"Valsts meži","Meža zeme","Saulkrastu novads",11538
"Valsts meži","Meža zeme","Siguldas novads",29452
